date,open,high,low,close,adj_close,volume,symbol,currency,ret,log_ret
16-08-2024,4350,4427,4325.1,4416.05,4257.22,3457058,Sun Pharmaceutical Industries L,INR,0.028124090565159188,0.0277358704145243
19-08-2024,4421,4494.25,4390.35,4490,4328.51,2055210,Sun Pharmaceutical Industries L,INR,0.016745734310073424,0.016607070379700772
20-08-2024,4505,4565,4500,4523.3,4360.61,2212298,Sun Pharmaceutical Industries L,INR,0.007416481069042247,0.007389114200593738
21-08-2024,4518,4560,4492.55,4551.5,4387.8,1896990,Sun Pharmaceutical Industries L,INR,0.006234386399310177,0.006215033008448501
22-08-2024,4560,4560.95,4497.2,4502,4340.08,1829872,Sun Pharmaceutical Industries L,INR,-0.010875536,-0.010935106
23-08-2024,4500,4506,4455,4463.9,4303.35,1809253,Sun Pharmaceutical Industries L,INR,-0.008462905,-0.008498919
26-08-2024,4489,4552.15,4485,4502.45,4340.51,1844164,Sun Pharmaceutical Industries L,INR,0.008635946145747031,0.008598869670212395
27-08-2024,4505,4510,4486.8,4497.15,4335.4,930697,Sun Pharmaceutical Industries L,INR,-0.001177137,-0.00117783
28-08-2024,4498.75,4562.5,4457.3,4506.05,4343.98,1848058,Sun Pharmaceutical Industries L,INR,0.0019790311641818548,0.001977075461846667
29-08-2024,4460,4556,4460,4511.8,4349.52,2133641,Sun Pharmaceutical Industries L,INR,0.0012760621830649743,0.0012752487076745922
30-08-2024,4500,4592.25,4487.8,4553.75,4389.97,3637222,Sun Pharmaceutical Industries L,INR,0.00929784121636601,0.009254882368448847
02-09-2024,4576,4588,4512,4521.05,4358.44,1216500,Sun Pharmaceutical Industries L,INR,-0.007180895,-0.007206802
03-09-2024,4521.05,4555.9,4495.9,4512.35,4350.05,1717263,Sun Pharmaceutical Industries L,INR,-0.001924332,-0.001926186
04-09-2024,4476.95,4487,4436.7,4479.25,4318.15,1265505,Sun Pharmaceutical Industries L,INR,-0.007335424,-0.00736246
05-09-2024,4481,4499,4454.15,4475.95,4314.96,1688793,Sun Pharmaceutical Industries L,INR,-0.00073673,-0.000737002
06-09-2024,4473.95,4518.95,4440,4456.75,4296.45,1649179,Sun Pharmaceutical Industries L,INR,-0.004289592,-0.004298819
09-09-2024,4455,4490.25,4430.5,4449.55,4289.51,1184938,Sun Pharmaceutical Industries L,INR,-0.001615527,-0.001616833
10-09-2024,4442.45,4539.95,4440.45,4507.85,4345.72,1385591,Sun Pharmaceutical Industries L,INR,0.013102448562214208,0.01301735397538728
11-09-2024,4521.45,4549.35,4471.25,4479.35,4318.24,1325919,Sun Pharmaceutical Industries L,INR,-0.006322304,-0.006342375
12-09-2024,4510.25,4532.6,4431.3,4517.7,4355.21,2742216,Sun Pharmaceutical Industries L,INR,0.008561510040519194,0.008525068164034977
13-09-2024,4530,4547,4505,4522.6,4359.94,1458786,Sun Pharmaceutical Industries L,INR,0.0010846227062444314,0.001084034928011235
16-09-2024,4527,4546.05,4494.45,4513.25,4350.92,1155120,Sun Pharmaceutical Industries L,INR,-0.002067395,-0.002069535
